소방서명,위치,위도,경도
이촌119안전센터,서울특별시 용산구 이촌로2가 1 (이촌동),37.53025149,126.9534067
이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),37.5343871,126.9958366
한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),37.534122,126.9714958
후암119안전센터,서울특별시 용산구 후암로 34 (후암동),37.5489339,126.9779044
역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),37.605,126.9106789
수색119안전센터,서울특별시 은평구 수색로 294 (수색동),37.5836608,126.89169
녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),37.6011213,126.9350088
진관119안전센터,서울특별시 은평구 통일로 962(진관동),37.62896,126.920145
연건119안전센터,서울특별시 종로구 대학로 91 (연건동),37.5794248,127.0018412
종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),37.5711403,126.9919944
숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),37.5777659,127.0217333
신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),37.5842761,126.9700363
세종로119안전센터,서울특별시 종로구 종로1길 28 (수송동),37.5728556,126.9789126
신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),37.6057994,126.9608651
신당119안전센터,서울특별시 중구 다산로8길 2 (신당동),37.5529197,127.009622
회현119안전센터,서울특별시 중구 소공로 30 (회현동2가),37.5582098,126.9833815
을지로119안전센터,서울특별시 중구 을지로45길 43 (신당동),37.5667217,127.0120239
충무로119안전센터,서울특별시 중구 충무로 11 (충무로3가),37.5621562,126.9929127
무학119안전센터,서울특별시 중구 퇴계로 394 (무학동),37.5648667,127.0153938
면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),37.572857,127.079902
중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),37.6004588,127.0792944
신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),37.6153213,127.0948052
망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),37.5977259,127.1005719
