교육청명,유치원명,설립유형,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수,경도,위도,X,Y,CLSS
" 서울특별시교육청 "," 봄내유치원 "," 사립(사인) "," 서울특별시 중랑구 면목로61길 50 "," 07시50분~20시00분 ",2,2,4,0,0,39,52,89,0,0,20211,127.0855593,37.5859724,963409,1954145,정좌표
" 서울특별시교육청 "," 유정유치원 "," 사립(사인) "," 서울특별시 은평구 진흥로12길 23 "," 07시30분~19시30분 ",2,2,2,0,0,39,51,58,0,0,20211,126.9267583,37.6066835,949403,1956516,정좌표
" 서울특별시교육청 "," 와우랩유치원 "," 사립(사인) "," 서울특별시 은평구 응암로28길 34 "," 09시00분~19시00분 ",2,4,3,0,0,55,83,89,0,0,20211,126.9215166,37.5939943,948931,1955111,정좌표
" 서울특별시교육청 "," 정님유치원 "," 사립(사인) "," 서울특별시 마포구 숭문6길 19 "," 07시00분~19시00분 ",2,2,2,0,0,48,46,52,0,0,20211,126.9469124,37.5500009,951144,1950217,정좌표
" 서울특별시교육청 "," 서울청덕초등학교병설유치원 "," 공립(병설) "," 서울특별시 성북구 정릉로9라길 11 "," 07시30분~19시30분 ",1,1,1,0,0,3,6,7,0,0,20211,127.0003602,37.6119972,955902,1957069,정좌표
" 서울특별시교육청 "," 가명유치원 "," 사립(법인) "," 서울특별시 중구 청파로 447-1 "," 09시00분~18시00분 ",1,1,1,0,0,22,27,25,0,0,20211,126.9671908,37.5591363,952941,1951220,정좌표
" 서울특별시교육청 "," 근화유치원 "," 사립(법인) "," 서울특별시 중구 동호로20길 24 "," 09시00분~17시00분 ",1,0,0,3,0,22,0,0,63,0,20211,127.0090562,37.5592428,956639,1951212,정좌표
" 서울특별시교육청 "," 배화여자대학교 부속 배화유치원 "," 사립(법인) "," 서울특별시 종로구 필운대로1길 34 "," 09시00분~17시00분 ",1,1,1,0,0,22,26,24,0,0,20211,126.9663873,37.5787899,952883,1953401,정좌표
" 서울특별시교육청 "," 탑주유치원 "," 사립(법인) "," 서울특별시 성북구 화랑로13길 17 "," 08시00분~18시00분 ",3,2,2,0,0,62,58,55,0,0,20211,127.0410587,37.6047392,959490,1956245,정좌표
" 서울특별시교육청 "," 성실유치원 "," 사립(사인) "," 서울특별시 강북구 삼각산로 143-1 "," 07시00분~22시00분 ",1,1,2,0,0,14,22,42,0,0,20211,127.018785,37.6424084,957546,1960434,정좌표
" 서울특별시교육청 "," 우일유치원 "," 사립(사인) "," 서울특별시 강서구 곰달래로47길 88 "," 09시00분~18시00분 ",2,2,2,0,0,21,29,41,0,0,20211,126.8552458,37.5351547,943036,1948621,정좌표
" 서울특별시교육청 "," 한영유치원 "," 사립(사인) "," 서울특별시 영등포구 영중로41길 5 "," 09시30분~19시00분 ",1,1,2,0,0,24,26,42,0,0,20211,126.9047996,37.5284975,947409,1947854,정좌표
" 서울특별시교육청 "," 슬기유치원 "," 사립(사인) "," 서울특별시 광진구 자양로 296 "," 07시00분~22시00분 ",0,0,2,1,0,0,0,36,21,0,20211,127.0926398,37.5520577,964018,1950379,정좌표
" 서울특별시교육청 "," 윤진유치원 "," 사립(사인) "," 서울특별시 광진구 아차산로21길 15 "," 09시00분~20시00분 ",0,0,0,1,0,0,0,0,17,0,20182,127.0650401,37.5427147,961575,1949354,정좌표
" 서울특별시교육청 "," 자양하나유치원 "," 사립(사인) "," 서울특별시 광진구 아차산로41길 22-5 "," 07시30분~19시30분 ",1,1,1,0,0,16,23,20,0,0,20211,127.0786331,37.538839,962774,1948918,정좌표
" 서울특별시교육청 "," 서울가락초등학교병설유치원 "," 공립(병설) "," 서울특별시 송파구 송파대로37길 45-0(가락동 가락초등학교) "," 09시00분~19시00분 ",1,2,2,0,1,15,31,38,0,4,20211,127.1077449,37.500119,965328,1944611,정좌표
" 서울특별시교육청 "," 서울길동초등학교병설유치원 "," 공립(병설) "," 서울특별시 강동구 양재대로116길 69 "," 07시30분~19시30분 ",1,1,2,0,0,15,17,30,0,0,20211,127.1446301,37.5383713,968604,1948842,정좌표
" 서울특별시교육청 "," 예원유치원 "," 사립(사인) "," 서울특별시 송파구 마천로 30 "," 09시00분~20시00분 ",0,1,1,0,0,0,17,26,0,0,20192,127.1240488,37.5092246,966773,1945616,정좌표
" 서울특별시교육청 "," 햇빛유치원 "," 사립(사인) "," 서울특별시 송파구 올림픽로 419 "," 09시00분~18시00분 ",4,3,3,0,0,82,78,86,0,0,20211,127.1141316,37.5204949,965902,1946870,정좌표
" 서울특별시교육청 "," 계상유치원 "," 사립(법인) "," 서울특별시 양천구 남부순환로86길 22 "," 09시00분~20시00분 ",2,3,2,0,0,34,75,43,0,0,20211,126.8398579,37.5125058,941659,1946118,정좌표
